Frage;Antwort;Fundstellen im IT-Grundschutz-Kompendium 2023
Wie werden Mitarbeitende im Umgang mit Fernwartungswerkzeugen unterstützt?;Es sollten organisatorische Prozesse, Bedienungsanleitungen, Musterabläufe für aktive und passive Fernwartung sowie Schulungen eingerichtet werden. Zusätzlich zu den allgemeinen Schulungsmaßnahmen SOLLTE der IT-Betrieb besonders im Umgang mit den Fernwartungswerkzeugen sensibilisiert und geschult sowie eine Ansprechperson für die Fernwartung benannt werden.;OPS.1.2.5.A10 Umgang mit Fernwartungswerkzeugen (S) Es SOLLTEN organisatorische Verwaltungsprozesse zum Umgang mit den ausgewählten Fernwartungswerkzeugen etabliert werden. Es SOLLTE eine Bedienungsanleitung für den Umgang mit den Fernwartungswerkzeugen vorliegen. Ergänzend zu den allgemeinen Schulungsmaßnahmen SOLLTEN Musterabläufe für die passive und die aktive Fernwartung erstellt und kommuniziert werden. Zusätzlich zu den allgemeinen Schulungsmaßnahmen SOLLTE der IT-Betrieb besonders im Umgang mit den Fernwartungswerkzeugen sensibilisiert und geschult werden. Es SOLLTE ein Ansprechpartner oder eine Ansprechpartnerin für alle fachlichen Fragen zu den Fernwartungswerkzeugen benannt werden.
Welche Anforderungen gelten für die Authentisierung bei Fernwartung?;Es sollten Mehr-Faktor-Verfahren eingesetzt werden. Die Auswahl der Authentisierungsmethoden und die Gründe dafür müssen dokumentiert und in das Identitäts- und Berechtigungsmanagement integriert werden.;OPS.1.2.5.A17 Authentisierungsmechanismen bei der Fernwartung (S) Für die Fernwartung SOLLTEN Mehr-Faktor-Verfahren zur Authentisierung eingesetzt werden. Die Auswahl der Authentisierungsmethode und die Gründe, die zu der Auswahl geführt haben, SOLLTEN dokumentiert werden. Fernwartungszugänge SOLLTEN im Identitäts- und Berechtigungsmanagement der Institution berücksichtigt werden.
Wie ist Fernwartung durch externe Dienstleister abzusichern?;Fernwartung durch Dritte sollte durch interne Mitarbeitende überwacht und protokolliert werden. Es müssen vertragliche Regelungen mit externem Wartungspersonal bestehen, die Pflichten, Zugriffsrechte und die Trennung der Kundennetze eindeutig festlegen. Sollten Dienstleistende mehrere Kunden fernwarten, MUSS gewährleistet sein, dass die Netze der Kunden nicht miteinander verbunden werden. ;OPS.1.2.5.A19 Fernwartung durch Dritte (S) Wird die Fernwartung von Externen durchgeführt, SOLLTEN alle Fernwartungsaktivitäten von internen Mitarbeitenden beobachtet werden. Alle Fernwartungsvorgänge durch Dritte SOLLTEN aufgezeichnet werden. Mit externem Wartungspersonal MÜSSEN vertragliche Regelungen über die Sicherheit der betroffenen IT-Systeme und Informationen geschlossen werden. Die Pflichten und Kompetenzen des externen Wartungspersonals SOLLTEN in den vertraglichen Regelungen festgehalten werden. Sollten Dienstleistende mehrere Kunden und Kundinnen fernwarten, MUSS gewährleistet sein, dass die Netze der Kunden und Kundinnen nicht miteinander verbunden werden. Die Fernwartungsschnittstellen SOLLTEN so konfiguriert sein, dass es Dienstleistenden nur möglich ist, auf die IT-Systeme und Netzsegmente zuzugreifen, die für seine Arbeit benötigt werden.
Welche Maßnahmen gehören zum sicheren Betrieb der Fernwartung?;Es sollten Meldeprozesse für Support- und Fernwartungsanliegen eingerichtet, alle Fernwartungsvorgänge protokolliert und Schutzmechanismen gegen Angriffe auf Netzwerk- und Applikationsebene implementiert werden.;OPS.1.2.5.A20 Betrieb der Fernwartung (S) Ein Meldeprozess für Support- und Fernwartungsanliegen SOLLTE etabliert werden. Es SOLLTEN Mechanismen zur Erkennung und Abwehr von hochvolumigen Angriffen, TCP-StateExhaustion-Angriffen und Angriffen auf Applikationsebene implementiert sein. Alle Fernwartungsvorgänge SOLLTEN protokolliert werden.
Wie wird auf den Ausfall von Fernwartung reagiert?;Es sollte ein Notfallplan existieren, der Maßnahmen zur Minimierung von Schäden und zur schnellen Wiederherstellung des Normalbetriebs der Fernwartung beschreibt.;OPS.1.2.5.A21 Erstellung eines Notfallplans für den Ausfall der Fernwartung (S) Es SOLLTE ein Konzept entwickelt werden, wie die Folgen eines Ausfalls von Fernwartungskomponenten minimiert werden können. Dieses SOLLTE festhalten, wie im Falle eines Ausfalls zu reagieren ist. Durch den Notfallplan SOLLTE sichergestellt sein, dass Störungen, Schäden und Folgeschäden minimiert werden. Außerdem SOLLTE festgelegt werden, wie eine zeitnahe Wiederherstellung des Normalbetriebs erfolgen kann.
Was ist der Unterschied zwischen Cloud und normalem Outsourcing?;"Cloud-Dienste ähneln klassischem IT-Outsourcing, unterscheiden sich aber durch: 
- Shared Infrastructure: Mehrere Nutzer teilen sich die Infrastruktur.
- Dynamische Skalierung: Ressourcen können schnell angepasst werden.
- Selbstverwaltung: Nutzer steuern Dienste meist selbst über Weboberflächen oder APIs.
- Geografische Verteilung: Dienste können über mehrere Standorte, auch international, verteilt sein.
- Kurze Anpassungszyklen: Cloud-Dienste lassen sich schneller an Bedarf ändern als klassische Outsourcing-Verträge.";"1.3. Abgrenzung und Modellierung Der Baustein OPS.2.2 Cloud-Nutzung ist immer auf eine konkrete Cloud-Dienstleistung anzuwenden. Nutzt eine Institution unterschiedliche Cloud-Diensteanbietende, so ist der Baustein für alle Cloud-Diensteanbietenden anzuwenden. Die Schnittstelle zwischen den Cloud-Diensteanbietenden ist ebenfalls Gegenstand des Bausteins und muss für alle Cloud-Dienstleistungen betrachtet werden. In nahezu allen Bereitstellungsmodellen, abgesehen von der Nutzung einer Private Cloud On-Premise, stellen Cloud-Dienste eine Sonderform des Outsourcings (siehe Baustein OPS.2.3 Nutzung von Outsourcing) dar. Die im vorliegenden Baustein beschriebenen Gefährdungen und Anforderungen werden daher häufig auch im Outsourcing angewendet. Bei Cloud-Diensten gibt es jedoch einige Besonderheiten, die sich ausschließlich in diesem Baustein wiederfinden. Der Baustein OPS.2.3 Nutzung von Outsourcing ist daher nicht auf Cloud-Dienste anzuwenden. Die in diesem Baustein beschriebenen Gefährdungen und Anforderungen gelten dabei grundsätzlich unabhängig vom genutzten Service- und Bereitstellungsmodell. Sicherheitsanforderungen, mit denen Anbietende ihre Cloud-Dienste schützen können, sind nicht Gegenstand dieses Bausteins. Gefährdungen und spezifische Sicherheitsanforderungen, die durch die Anbindung eines Cloud-Dienstes über entsprechende Schnittstellen (englisch API, Application Programming Interface) als relevant anzusehen sind, werden ebenfalls nicht in diesem Baustein betrachtet. Abgrenzung zum klassischen IT-Outsourcing Beim Outsourcing werden Arbeits-, Produktions- oder Geschäftsprozesse einer Institution ganz oder teilweise zu externen Dienstleistenden ausgelagert. Dies ist ein etablierter Bestandteil heutiger Organisationsstrategien. Das klassische IT-Outsourcing ist meist so gestaltet, dass die komplette gemietete Infrastruktur exklusiv von einem Kunden oder einer Kundin genutzt wird (Single Tenant Architektur), auch wenn Anbietende von Outsourcing normalerweise mehrere Kunden oder Kundinnen haben. Zudem werden Outsourcing-Verträge meistens über längere Laufzeiten abgeschlossen. Die Nutzung von Cloud-Diensten gleicht in vielen Punkten dem klassischen Outsourcing, aber es kommen noch einige Unterschiede hinzu, die zu berücksichtigen sind:

• Aus wirtschaftlichen Gründen teilen sich oft in einer Cloud mehrere Anwendende eine gemeinsame Infrastruktur.

• Cloud-Dienste sind dynamisch und dadurch innerhalb viel kürzerer Zeiträume nach oben und unten skalierbar. So können Cloud-basierte Angebote rascher an den tatsächlichen Bedarf der Anwendenden angepasst werden.

• Die in Anspruch genommenen Cloud-Dienste werden in der Regel mittels einer Webschnittstelle durch die Cloud-Anwendenden selbst gesteuert. So können sie automatisiert die genutzten Dienste auf ihre Bedürfnisse zuschneiden.

• Durch die beim Cloud Computing genutzten Techniken ist es möglich, die IT-Leistung dynamisch über mehrere Standorte zu verteilen, die geographisch sowohl im In- als auch im Ausland weit verstreut sein können.

• Die Anwendenden können die genutzten Dienste und ihre Ressourcen einfach über WebOberflächen oder passende Schnittstellen administrieren, wobei wenig Interaktion mit den Cloud-Diensteanbietenden erforderlich ist."
Wie finde ich den richtigen Cloud-Anbieter für unsere Bedürfnisse?;Erstellen Sie basierend auf der Service-Definition ein detailliertes Anforderungsprofil, eine Leistungsbeschreibung und ein Lastenheft. Nutzen Sie ergänzende Informationsquellen und prüfen Sie Service-Beschreibungen der Anbieter kritisch.;OPS.2.2.A8 Sorgfältige Auswahl von Cloud-Diensteanbietenden (S) [Institutionsleitung] Basierend auf der Service-Definition für den Cloud-Dienst SOLLTE ein detailliertes Anforderungsprofil für Cloud-Diensteanbietende erstellt werden. Eine Leistungsbeschreibung und ein Lastenheft SOLLTEN erstellt werden. Für die Bewertung von Cloud-Diensteanbietenden SOLLTEN auch ergänzende Informationsquellen herangezogen werden. Ebenso SOLLTEN verfügbare ServiceBeschreibungen der Cloud-Diensteanbietenden sorgfältig geprüft und hinterfragt werden.
Wie detailliert müssen unsere vertraglichen Regelungen bezüglich der Cloud-Nutzung sein?;Die vertraglichen Regelungen sollten in Art, Umfang und Detaillierungsgrad dem Schutzbedarf Ihrer Informationen angepasst sein. Regeln Sie Leistungsstandort, Eskalation, Kommunikation, Datenlöschung, Kündigung und Subunternehmer-Offenlegung.;OPS.2.2.A9 Vertragsgestaltung mit den Cloud-Diensteanbietenden (S) [Institutionsleitung] Die vertraglichen Regelungen zwischen der auftraggebenden Institution und den CloudDiensteanbietenden SOLLTEN in Art, Umfang und Detaillierungsgrad dem Schutzbedarf der Informationen angepasst sein, die im Zusammenhang mit der Cloud-Nutzung stehen. Es SOLLTE geregelt werden, an welchem Standort die Cloud-Diensteanbietenden ihre Leistung erbringen. Zusätzlich SOLLTEN Eskalationsstufen und Kommunikationswege zwischen der Institution und den Cloud-Diensteanbietenden definiert werden. Auch SOLLTE vereinbart werden, wie die Daten der Institution sicher zu löschen sind. Ebenso SOLLTEN Kündigungsregelungen schriftlich fixiert werden. Die Cloud-Diensteanbietenden SOLLTEN alle Subunternehmen offenlegen, die sie für den CloudDienst benötigen.
Wie stellen wir Portabilität sicher, um Lock-in zu vermeiden?;Definieren Sie alle Anforderungen für Anbieterwechsel oder Rückholung in die eigene IT, führen Sie regelmäßig Portabilitätstests durch und halten Sie in Verträgen  mit den Cloud-Diensteanbietenden Vorgaben fest, die notwendige Portabilität gewährleisten.;OPS.2.2.A15 Sicherstellung der Portabilität von Cloud-Diensten (H) [Fachverantwortliche] Die Institution SOLLTE alle Anforderungen definieren, die es ermöglichen, Cloud-Diensteanbietende zu wechseln oder den Cloud-Dienst bzw. die Daten in die eigene IT-Infrastruktur zurückzuholen. Zudem SOLLTE die Institution regelmäßig Portabilitätstests durchführen. In den Verträgen mit den Cloud-Diensteanbietenden SOLLTEN Vorgaben festgehalten werden, mit denen sich die notwendige Portabilität gewährleisten lässt.
Wie integrieren wir Federation Services sicher in unsere Cloud-Strategie?;Prüfen Sie den Einsatz von Verbunddiensten für Ihr Cloud-Vorhaben. Stellen Sie sicher, dass SAML-Tickets nur erforderliche Informationen übertragen. Überprüfen Sie Berechtigungen regelmäßig, sodass nur berechtigte Benutzer Tickets erhalten.;OPS.2.2.A18 Einsatz von Verbunddiensten (H) [Fachverantwortliche] Es SOLLTE geprüft werden, ob bei einem Cloud-Nutzungs-Vorhaben Verbunddienste (Federation Services) eingesetzt werden. Es SOLLTE sichergestellt sein, dass in einem SAML (Security Assertion Markup Language)-Ticket nur die erforderlichen Informationen an die Cloud-Diensteanbietenden übertragen werden. Die Berechtigungen SOLLTEN regelmäßig überprüft werden, sodass nur berechtigten Benutzenden ein SAML-Ticket ausgestellt wird.
Sollten wir trotz Provider-Backups eigene Datensicherungen durchführen?;Bei erhöhtem Schutzbedarf sollten Sie prüfen, ob zusätzlich zu vertraglich festgelegten Provider-Backups eigene Datensicherungen erstellt werden. Definieren Sie dafür detaillierte Anforderungen an einen Backup-Service.;OPS.2.2.A16 Durchführung eigener Datensicherungen (H) [Fachverantwortliche] Die Institution SOLLTE prüfen, ob, zusätzlich zu den vertraglich festgelegten Datensicherungen der Cloud-Diensteanbietenden, eigene Datensicherungen erstellt werden sollen. Zudem SOLLTE sie detaillierte Anforderungen an einen Backup-Service erstellen.
Müssen Verantwortlichkeiten für Informationssicherheit festgelegt werden?;Ja, alle Aufgaben und Funktionen müssen klar definiert und voneinander abgegrenzt werden. Verbindliche Regelungen zur Informationssicherheit sind festzulegen und Änderungen allen Mitarbeitenden bekanntzugeben. Die Verantwortung dafür liegt bei der Institutionsleitung.;ORP.1.A1 Festlegung von Verantwortlichkeiten und Regelungen (B) [Institutionsleitung] Innerhalb einer Institution MÜSSEN alle relevanten Aufgaben und Funktionen klar definiert und voneinander abgegrenzt sein. Es MÜSSEN verbindliche Regelungen für die Informationssicherheit für die verschiedenen betrieblichen Aspekte übergreifend festgelegt werden. Die Organisationsstrukturen sowie verbindliche Regelungen MÜSSEN anlassbezogen überarbeitet werden. Die Änderungen MÜSSEN allen Mitarbeitenden bekannt gegeben werden.
Wer ist für Geschäftsprozesse und IT-Systeme zuständig?;Für alle Geschäftsprozesse, Anwendungen, IT-Systeme, Räume und Kommunikationsverbindungen muss festgelegt werden, wer verantwortlich ist. Mitarbeitende müssen ihre jeweiligen Zuständigkeiten kennen.;ORP.1.A2 Zuweisung der Zuständigkeiten (B) [Institutionsleitung] Für alle Geschäftsprozesse, Anwendungen, IT-Systeme, Räume und Gebäude sowie Kommunikationsverbindungen MUSS festgelegt werden, wer für diese und deren Sicherheit zuständig ist. Alle Mitarbeitenden MÜSSEN darüber informiert sein, insbesondere wofür sie zuständig sind und welche damit verbundenen Aufgaben sie wahrnehmen.
Warum müssen fremde Personen von externen Dienstleistern innerhalb der Institution begleitet werden?;Institutionsfremde Personen müssen von eigenen Mitarbeitenden begleitet und in sensiblen Bereichen beaufsichtigt werden, da sie unbeabsichtigt oder absichtlich Informationen und IT-Systeme gefährden können.;ORP.1.A3 Beaufsichtigung oder Begleitung von Fremdpersonen (B) [Mitarbeitende] Institutionsfremde Personen MÜSSEN von Mitarbeitenden zu den Räumen begleitet werden. Die Mitarbeitenden der Institution MÜSSEN institutionsfremde Personen in sensiblen Bereichen beaufsichtigen. Die Mitarbeitenden SOLLTEN dazu angehalten werden, institutionsfremde Personen in den Räumen der Institution nicht unbeaufsichtigt zu lassen.
Muss es feste Ansprechpersonen für Sicherheitsfragen geben?;Ja, es müssen Ansprechpersonen für Informationssicherheitsfragen benannt werden. Diese müssen allen Mitarbeitenden bekannt und leicht erreichbar sein, um Unsicherheiten und Fehlverhalten zu vermeiden.;ORP.1.A15 Ansprechperson zu Informationssicherheitsfragen (B) In jeder Institution MUSS es Ansprechpersonen für Sicherheitsfragen geben, die sowohl scheinbar einfache wie auch komplexe oder technische Fragen beantworten können. Die Ansprechpersonen MÜSSEN allen Mitarbeitenden der Institution bekannt sein. Diesbezügliche Informationen MÜSSEN in der Institution für alle verfügbar und leicht zugänglich sein.
Warum ist eine Funktionstrennung bei Aufgaben notwendig?;Unvereinbare Aufgaben wie operative und kontrollierende Tätigkeiten müssen auf unterschiedliche Personen verteilt werden, um Missbrauch, Fehler und unkontrollierte Entscheidungen zu vermeiden. Diese Trennung ist zu dokumentieren und muss auch im Vertretungsfall gelten.;ORP.1.A4 Funktionstrennung zwischen unvereinbaren Aufgaben (B) Die Aufgaben und die hierfür erforderlichen Rollen und Funktionen MÜSSEN so strukturiert sein, dass unvereinbare Aufgaben wie operative und kontrollierende Funktionen auf verschiedene Personen verteilt werden. Für unvereinbare Funktionen MUSS eine Funktionstrennung festgelegt und dokumentiert sein. Auch Vertreter MÜSSEN der Funktionstrennung unterliegen.
Wie soll mit Betriebsmitteln und Geräten umgegangen werden?;Geräte und Betriebsmittel mit Einfluss auf die Informationssicherheit sollten ausreichend vorhanden, geprüft, genehmigt und in Bestandsverzeichnissen dokumentiert werden. Zudem muss die sichere Löschung oder Vernichtung geregelt sein.;ORP.1.A8 Betriebsmittel- und Geräteverwaltung (S) [IT-Betrieb] Alle Geräte und Betriebsmittel, die Einfluss auf die Informationssicherheit haben und die zur Aufgabenerfüllung und zur Einhaltung der Sicherheitsanforderungen erforderlich sind, SOLLTEN in ausreichender Menge vorhanden sein. Es SOLLTE geeignete Prüf- und Genehmigungsverfahren vor Einsatz der Geräte und Betriebsmittel geben. Geräte und Betriebsmittel SOLLTEN in geeigneten Bestandsverzeichnissen aufgelistet werden. Um den Missbrauch von Daten zu verhindern, SOLLTE die zuverlässige Löschung oder Vernichtung von Geräten und Betriebsmitteln geregelt sein (siehe hierzu CON.6 Löschen und Vernichten).
Welche organisatorischen Maßnahmen gelten bei Umzügen?;Vor Umzügen sollten Sicherheitsrichtlinien erstellt oder aktualisiert werden. Mitarbeitende sind zu informieren und nach dem Umzug ist zu prüfen, ob alle Geräte und Unterlagen vollständig und unbeschädigt angekommen sind.;ORP.1.A13 Sicherheit bei Umzügen (S) [IT-Betrieb, Haustechnik] Vor einem Umzug SOLLTEN frühzeitig Sicherheitsrichtlinien erarbeitet bzw. aktualisiert werden. Alle Mitarbeitenden SOLLTEN über die vor, während und nach dem Umzug relevanten Sicherheitsmaßnahmen informiert werden. Nach dem Umzug SOLLTE überprüft werden, ob das transportierte Umzugsgut vollständig und unbeschädigt bzw. unverändert angekommen ist.
Warum reicht es nicht aus, Regelungen nur festzulegen?;Regelungen müssen den Mitarbeitenden bekannt gemacht werden. Nur wenn sie verständlich kommuniziert werden, können sie im Arbeitsalltag eingehalten werden und Sicherheitslücken durch Fehlverhalten vermieden werden.;"2.2. Nichtbeachtung von Regelungen Allen Mitarbeitenden müssen die geltenden Regelungen bekannt gemacht werden und zum Nachlesen zur Verfügung stehen. Die Erfahrung zeigt, dass es nicht ausreicht, Sicherheitsregeln lediglich festzulegen. Ihre Kommunikation an die Mitarbeitenden ist elementar wichtig, damit die Vorgaben auch von allen Betroffenen im Arbeitsalltag gelebt werden können. Werden Regelungen von Mitarbeitenden missachtet, können beispielsweise folgende Sicherheitslücken entstehen:

• Vertrauliche Informationen werden in Hörweite fremder Personen diskutiert, beispielsweise in Pausengesprächen von Besprechungen oder über Mobiltelefonate in öffentlichen Umgebungen.

• Dokumente werden auf einem Webserver veröffentlicht, ohne dass geprüft wurde, ob diese tatsächlich zur Veröffentlichung vorgesehen und freigegeben sind.

• Aufgrund von fehlerhaft administrierten Zugriffsrechten können Mitarbeitende Daten ändern, ohne die Brisanz dieser Integritätsverletzung einschätzen zu können."
Welche Gefahren entstehen durch fehlende organisatorische Regelungen?;Fehlende oder ungeeignete Regelungen können zu massiven Sicherheitslücken führen, etwa durch falsches Verhalten bei Vorfällen, unkontrollierte Veröffentlichungen oder unzureichend geregelte Zugriffsrechte.;2.1. Fehlende oder unzureichende Regelungen Fehlende Regelungen können zu massiven Sicherheitslücken führen, wenn beispielsweise Mitarbeitende nicht wissen, wie sie bei Vorfällen reagieren sollen. Probleme können auch dadurch entstehen, dass Regelungen veraltet, unpraktikabel oder unverständlich formuliert sind. Die Bedeutung dieser übergreifenden organisatorischen Regelungen nimmt mit der Komplexität der Geschäftsprozesse und dem Umfang der Informationsverarbeitung, aber auch mit dem Schutzbedarf der zu verarbeitenden Informationen zu.
Wie werden organisatorische Regelungen aktuell gehalten?;Organisationsstrukturen und Regelungen müssen anlassbezogen überprüft und angepasst werden. Änderungen sind allen Mitarbeitenden bekanntzugeben, um die Wirksamkeit der Informationssicherheitsmaßnahmen sicherzustellen.;ORP.1.A1 Festlegung von Verantwortlichkeiten und Regelungen (B) [Institutionsleitung] Innerhalb einer Institution MÜSSEN alle relevanten Aufgaben und Funktionen klar definiert und voneinander abgegrenzt sein. Es MÜSSEN verbindliche Regelungen für die Informationssicherheit für die verschiedenen betrieblichen Aspekte übergreifend festgelegt werden. Die Organisationsstrukturen sowie verbindliche Regelungen MÜSSEN anlassbezogen überarbeitet werden. Die Änderungen MÜSSEN allen Mitarbeitenden bekannt gegeben werden.
Was ist das Ziel des Identitäts- und Berechtigungsmanagements?;Ziel ist, dass Benutzende und IT-Komponenten ausschließlich auf die Ressourcen zugreifen können, für die sie autorisiert sind, und unberechtigte Zugriffe zuverlässig verhindert werden.;1.2. Zielsetzung Ziel des Bausteins ist es, dass Benutzende oder auch IT-Komponenten ausschließlich auf die ITRessourcen und Informationen zugreifen können, die sie für ihre Arbeit benötigen und für die sie autorisiert sind, und unautorisierten Benutzenden oder IT-Komponenten den Zugriff zu verwehren. Dazu werden Anforderungen formuliert, mit denen Institutionen ein sicheres Identitäts- und Berechtigungsmanagement aufbauen sollten.
Warum müssen Benutzendenkennungen eindeutig Personen zugeordnet werden?;Jede Kennung muss eindeutig einer Person zugeordnet sein, damit Verantwortlichkeiten nachvollziehbar bleiben und Missbrauch sowie unkontrollierte Zugriffe verhindert werden können.;ORP.4.A1 Regelung für die Einrichtung und Löschung von Benutzenden und Benutzendengruppen (B) [IT-Betrieb] Es MUSS geregelt werden, wie Benutzendenkennungen und -gruppen einzurichten und zu löschen sind. Jede Benutzendenkennung MUSS eindeutig einer Person zugeordnet werden können. Benutzendenkennungen, die längere Zeit inaktiv sind, SOLLTEN deaktiviert werden. Alle Benutzenden und Benutzendengruppen DÜRFEN NUR über separate administrative Rollen eingerichtet und gelöscht werden. Nicht benötigte Benutzendenkennungen, wie z. B. standardmäßig eingerichtete Gastkonten oder Standard-Administrierendenkennungen, MÜSSEN geeignet deaktiviert oder gelöscht werden.
Warum ist eine Dokumentation der Benutzerkonten notwendig?;Die Dokumentation stellt sicher, dass bekannt ist, welche Kennungen und Rechte existieren, und ermöglicht regelmäßige Überprüfungen, ob diese noch den aktuellen Aufgaben und Sicherheitsanforderungen entsprechen.;ORP.4.A3 Dokumentation der Benutzendenkennungen und Rechteprofile (B) [IT-Betrieb] Es MUSS dokumentiert werden, welche Benutzendenkennungen, angelegte Benutzendengruppen und Rechteprofile zugelassen und angelegt wurden. Die Dokumentation der zugelassenen Benutzendenkennungen, angelegten Benutzendengruppen und Rechteprofile MUSS regelmäßig daraufhin überprüft werden, ob sie den tatsächlichen Stand der Rechtevergabe widerspiegelt. Dabei MUSS auch geprüft werden, ob die Rechtevergabe noch den Sicherheitsanforderungen und den aktuellen Aufgaben der Benutzenden entspricht. Die Dokumentation MUSS vor unberechtigtem Zugriff geschützt werden. Sofern sie in elektronischer Form erfolgt, SOLLTE sie in das Datensicherungsverfahren einbezogen werden.
Warum ist Funktionstrennung im Identitätsmanagement wichtig?;Unvereinbare Aufgaben müssen getrennt werden, um Missbrauch und Fehler zu verhindern. Das Identitäts- und Berechtigungsmanagement muss diese organisatorische Trennung technisch unterstützen.;ORP.4.A4 Aufgabenverteilung und Funktionstrennung (B) [IT-Betrieb] Die von der Institution definierten unvereinbaren Aufgaben und Funktionen (siehe Baustein ORP.1 Organisation) MÜSSEN durch das Identitäts- und Berechtigungsmanagement getrennt werden.
Warum sollten Authentisierungsmechanismen an den Schutzbedarf angepasst werden?;Authentisierungsmechanismen sollten an den Schutzbedarf angepasst werden, weil unterschiedliche Systeme unterschiedliche Sicherheitsniveaus erfordern. Geeignete Mechanismen schützen Zugangsdaten vor Ausspähung, Manipulation und unbefugtem Zugriff.;ORP.4.A13 Geeignete Auswahl von Authentisierungsmechanismen (S) [ITBetrieb] Es SOLLTEN dem Schutzbedarf angemessene Identifikations- und Authentisierungsmechanismen verwendet werden. Authentisierungsdaten SOLLTEN durch das IT-System bzw. die IT-Anwendungen bei der Verarbeitung jederzeit gegen Ausspähung, Veränderung und Zerstörung geschützt werden. Das IT-System bzw. die IT-Anwendung SOLLTE nach jedem erfolglosen Authentisierungsversuch weitere Anmeldeversuche zunehmend verzögern (Time Delay). Die Gesamtdauer eines Anmeldeversuchs SOLLTE begrenzt werden können. Nach Überschreitung der vorgegebenen Anzahl erfolgloser Authentisierungsversuche SOLLTE das IT-System bzw. die IT-Anwendung die Benutzendenkennung sperren.
Wie wird die Wirksamkeit der Benutzertrennung überprüft?;In regelmäßigen Abständen sollte kontrolliert werden, ob Benutzende sich nach Arbeitsende abmelden und ob mehrere Personen nicht dieselbe Kennung verwenden.;ORP.4.A14 Kontrolle der Wirksamkeit der Benutzendentrennung am IT-System bzw. an der Anwendung (S) [IT-Betrieb] In angemessenen Zeitabständen SOLLTE überprüft werden, ob die Benutzenden von IT-Systemen bzw. Anwendungen sich regelmäßig nach Aufgabenerfüllung abmelden. Ebenso SOLLTE kontrolliert werden, dass nicht mehrere Benutzende unter der gleichen Kennung arbeiten.
Wie müssen Prozesse im Identitäts- und Berechtigungsmanagement strukturiert sein?;Für das Identitäts- und Berechtigungsmanagement sollten definierte Prozesse für die Verwaltung von Richtlinien, Identitätsprofilen, Benutzendenkennungen, Rollen und Berechtigungsprofilen existieren, um eine konsistente und überprüfbare Verwaltung sicherzustellen;"ORP.4.A15 Vorgehensweise und Konzeption der Prozesse beim Identitäts- und Berechtigungsmanagement (S) [IT-Betrieb] Für das Identitäts- und Berechtigungsmanagement SOLLTEN folgenden Prozesse definiert und umgesetzt werden:

• Richtlinien verwalten,

• Identitätsprofile verwalten,

• Benutzendenkennungen verwalten,

• Berechtigungsprofile verwalten sowie

• Rollen verwalten."
Wie wird bei Ausfall des Identitätsmanagementsystems verfahren?;Es müssen Notfallmaßnahmen vorhanden sein, damit auch bei einem Ausfall des Systems weiterhin Berechtigungen vergeben und Geschäftsprozesse sicher aufrechterhalten werden können.;ORP.4.A20 Notfallvorsorge für das Identitäts- und Berechtigungsmanagement-System (H) [IT-Betrieb] Es SOLLTE geprüft werden, inwieweit ein ausgefallenes Identitäts- und BerechtigungsmanagementSystem sicherheitskritisch für die Geschäftsprozesse ist. Es SOLLTEN Vorkehrungen getroffen werden, um bei einem ausgefallenen Identitäts- und Berechtigungsmanagement-System weiterhin arbeitsfähig zu sein. Insbesondere SOLLTE das im Notfallkonzept vorgesehene Berechtigungskonzept weiterhin anwendbar sein, wenn das Identitäts- und Berechtigungsmanagement-System ausgefallen ist.
Was ist das Ziel des Compliance Managements im IT-Grundschutz?;Ziel ist es, alle relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben zu identifizieren und geeignete Sicherheitsanforderungen abzuleiten, um Verstöße gegen diese Anforderungen systematisch zu vermeiden.;1.2. Zielsetzung Ziel des Bausteins ist es, aufzuzeigen, wie sich Zuständige einen Überblick über die verschiedenen Anforderungen an die einzelnen Bereiche einer Institution verschaffen können. Dazu sind geeignete Sicherheitsanforderungen zu identifizieren und umzusetzen, um Verstöße gegen diese Vorgaben zu vermeiden.
Welche Arten von Vorgaben müssen berücksichtigt werden?;Es müssen alle gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement identifiziert, dokumentiert und aktuell gehalten werden.;ORP.5.A1 Identifikation der Rahmenbedingungen (B) [Zentrale Verwaltung, Institutionsleitung] Alle gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement MÜSSEN identifiziert und dokumentiert werden. Die für die einzelnen Bereiche der Institution relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben SOLLTEN in einer strukturierten Übersicht herausgearbeitet werden. Die Dokumentation MUSS auf dem aktuellen Stand gehalten werden.
